registration,num_sites,users_available_to
sakai.siteinfo,13383,21036
sakai.announcements,13227,20993
sakai.site.roster,13182,20980
sakai.sitestats,13073,20957
sakai.synoptic.announcement,13208,20936
sakai.resources,13180,20895
sakai.forums,12558,20874
sakai.messages,12977,20855
sakai.schedule,12692,20712
sakai.synoptic.messagecenter,13019,20651
sakai.search,12583,20446
sakai.summary.calendar,12590,20394
sakai.chat,12005,20048
sakai.synoptic.chat,11940,20009
sakai.rwiki,11681,19914
sakai.iframe,12598,19829
sakai.melete,11690,19599
sakai.samigo,11766,19362
sakai.assignment.grades,12330,19337
sakai.syllabus,12491,19331
sakai.iframe.site,4449,18064
sakai.gradebook.tool,9875,17318
sakai.dropbox,1339,11165
sakai.poll,710,9329
sakai.bbb,2481,8247
sakai.gradebook.gwt.rpc,2512,7944
sakai.blogwow,585,6672
sakai.signup,859,6427
sakai.podcasts,321,6021
sakai.news,238,5149
sakai.postem,290,4714
blogger,274,4257
sakai.clog,68,1063
osp.matrix,38,1062
osp.presTemplate,36,1044
osp.presentation,35,1043
osp.evaluation,32,1041
osp.glossary,29,808
sakai.metaobj,33,807
sakai.mailtool,31,426
sakai.sections,21,374
sakai.reports,8,310
osp.presLayout,25,307
sakai.kaltura,16,250
sakai.lessonbuildertool,23,238
sakai-site-pageorder-helper,18,210
osp.style,23,119
sakai.usermembership,4,115
sakai.basiclti,4,83
osp.wizard,18,74
sakai.rsn.osp.iframe,9,68
sakai.formbuilder,1,24
sakai.rutgers.linktool,3,20
sakai.gmt,7,15
sakai.assignment,1,15
sakai.datapoint,6,14
sakai.mailbox,1,9
sakai.sitesetup,1,9
com.rsmart.certification,1,4
rsmart.virtual_classroom.tool,1,4
sakai.iclicker,1,4
sakai.archive,1,3
sakai.rsf.evaluation,1,2
